L1,L2,L3,R1,R2,R3,D1,1X,1Y,1Z,2X,2Y,2Z
0,0,32,32,5,-5,1097.0,1691.0,-422.0,-649.0,1217.0,-164.0,185.0
0,0,82,-19,0,-5,1153.0,413.0,-89.0,19.0,686.0,-292.0,475.0
0,0,90,-29,-2,-5,1169.0,416.0,-348.0,446.0,890.0,-182.0,376.0
0,0,89,-29,-2,-4,1066.0,567.0,-357.0,825.0,833.0,-285.0,294.0
2,0,86,-29,-3,-5,1066.0,596.0,-312.0,781.0,765.0,-292.0,208.0
16,3,14,-30,-3,-5,162.0,1228.0,-406.0,657.0,668.0,-241.0,50.0
81,20,-14,-30,-2,-5,162.0,782.0,-286.0,489.0,1358.0,-441.0,-155.0
30,42,-16,-24,-2,-2,162.0,177.0,-412.0,399.0,990.0,-83.0,173.0
0,0,-17,-21,-2,5,162.0,1058.0,-369.0,370.0,848.0,-208.0,363.0
0,1,-18,-20,-2,-1,162.0,998.0,-211.0,145.0,836.0,-328.0,394.0
0,0,-16,-19,-2,1,162.0,861.0,-320.0,169.0,852.0,19.0,347.0
0,0,-13,-23,-2,9,162.0,1049.0,-305.0,41.0,840.0,-17.0,238.0
0,0,-14,-15,-3,-4,8191.0,1228.0,-235.0,1519.0,1267.0,-169.0,56.0
0,0,53,27,4,-4,8191.0,2276.0,-847.0,-322.0,1387.0,-727.0,162.0
0,0,110,-19,0,-5,8191.0,273.0,-30.0,506.0,575.0,-242.0,288.0
0,0,115,-29,-3,-5,1102.0,234.0,-311.0,833.0,893.0,-242.0,359.0
0,0,104,-29,-2,-5,1093.0,755.0,-362.0,615.0,860.0,-285.0,304.0
1,0,108,-29,-3,-5,8191.0,757.0,-458.0,711.0,825.0,-359.0,119.0
12,1,50,-29,-2,-5,136.0,527.0,-265.0,575.0,579.0,-153.0,81.0
43,15,-14,-30,-2,-5,136.0,886.0,-332.0,891.0,960.0,-444.0,45.0
52,37,-16,-30,-3,-5,8191.0,1992.0,-1206.0,-603.0,1471.0,-584.0,263.0
16,11,-16,-23,-2,4,8191.0,747.0,-210.0,185.0,772.0,15.0,405.0
0,0,-17,-22,-2,4,8191.0,893.0,-353.0,68.0,926.0,-207.0,202.0
0,0,-17,-23,-3,6,8191.0,915.0,-311.0,166.0,864.0,-136.0,276.0
0,0,-16,-28,-2,11,8191.0,960.0,-208.0,234.0,916.0,-69.0,191.0
0,0,-14,-27,-2,9,8191.0,1168.0,-306.0,-132.0,793.0,-102.0,222.0
0,0,-13,-15,-3,-5,8191.0,-133.0,141.0,1354.0,725.0,-238.0,-122.0
0,0,32,32,4,-4,8191.0,2354.0,-496.0,332.0,1607.0,-570.0,116.0
0,0,87,-4,6,-5,1092.0,661.0,-300.0,-275.0,708.0,-141.0,333.0
0,0,89,-30,-1,-5,1092.0,210.0,-21.0,148.0,964.0,-266.0,347.0
4,0,64,-30,-2,-5,1103.0,213.0,-455.0,386.0,764.0,-230.0,282.0
2,0,83,-30,-2,-5,1053.0,682.0,-422.0,895.0,872.0,-294.0,173.0
13,1,49,-30,-2,-5,116.0,439.0,-471.0,528.0,631.0,-181.0,-57.0
64,15,-12,-30,-3,-5,116.0,338.0,-65.0,716.0,1175.0,-602.0,-167.0
35,31,-16,-27,-2,-4,116.0,731.0,-457.0,689.0,1071.0,-237.0,58.0
0,0,-18,-19,-3,3,8191.0,1058.0,-292.0,147.0,838.0,-184.0,390.0
0,0,-17,-20,-2,2,8191.0,977.0,-283.0,177.0,946.0,-328.0,288.0
0,0,-15,-17,-2,1,8191.0,943.0,-379.0,170.0,921.0,-102.0,289.0
0,0,-11,-18,-2,3,8191.0,1026.0,-384.0,25.0,807.0,-71.0,233.0
0,0,-15,-2,-2,-5,8191.0,1107.0,-172.0,894.0,1237.0,13.0,-52.0
0,0,9,47,9,-5,8191.0,1689.0,-540.0,-121.0,1333.0,-247.0,182.0
0,0,90,-9,2,-5,8191.0,269.0,-162.0,-140.0,822.0,-228.0,530.0
0,0,116,-28,-3,-5,1168.0,-134.0,113.0,502.0,1039.0,-221.0,284.0
0,0,133,-30,-2,-5,1098.0,582.0,-305.0,488.0,928.0,-317.0,315.0
0,0,143,-29,-3,-5,8191.0,759.0,-536.0,862.0,876.0,-270.0,183.0
0,0,132,-30,-3,-5,202.0,575.0,-160.0,642.0,777.0,-203.0,34.0
14,3,25,-30,-3,-5,202.0,551.0,-150.0,205.0,779.0,-230.0,18.0
96,23,-12,-30,-2,-5,8191.0,848.0,-140.0,723.0,1405.0,-255.0,-217.0
24,26,-15,-25,-2,-2,8191.0,1249.0,-242.0,89.0,811.0,-448.0,261.0
0,0,-16,-20,-2,2,8191.0,895.0,-321.0,168.0,961.0,-172.0,267.0
0,1,-17,-22,-2,5,8191.0,1003.0,35.0,97.0,841.0,-232.0,241.0
0,0,-16,-21,-2,3,8191.0,990.0,-286.0,56.0,894.0,-49.0,319.0
0,0,-14,-21,-2,3,8191.0,938.0,-232.0,279.0,853.0,-11.0,409.0
0,0,-12,-22,-2,5,110.0,299.0,-49.0,955.0,497.0,-88.0,-194.0
0,0,-7,5,0,-5,8191.0,1448.0,-381.0,1274.0,1524.0,-68.0,4.0
0,0,22,40,8,-5,1198.0,1862.0,-408.0,-180.0,1041.0,-114.0,302.0
0,-1,73,-13,0,-4,1227.0,362.0,-230.0,-397.0,604.0,-450.0,569.0
0,0,92,-28,-2,-5,1227.0,169.0,-157.0,811.0,1023.0,-175.0,441.0
0,0,68,-30,-3,-5,8191.0,659.0,-242.0,692.0,879.0,-310.0,346.0
0,0,91,-29,-3,-5,1153.0,709.0,-375.0,751.0,778.0,-245.0,230.0
1,0,105,-30,-2,-5,168.0,1240.0,-504.0,700.0,751.0,9.0,54.0
38,11,-2,-30,-3,-5,168.0,400.0,-272.0,649.0,1150.0,-403.0,-24.0
60,28,-15,-30,-3,-5,8191.0,-50.0,-496.0,135.0,1025.0,-317.0,90.0
6,2,-16,-24,-2,0,8191.0,1102.0,-347.0,222.0,801.0,115.0,464.0
0,0,-17,-24,-2,6,8191.0,950.0,-360.0,186.0,1003.0,-170.0,158.0
0,0,-17,-22,-3,9,8191.0,922.0,-113.0,330.0,1007.0,-149.0,220.0
0,0,-13,-21,-2,6,8191.0,961.0,-403.0,222.0,856.0,-105.0,333.0
0,0,-12,-18,-2,-4,157.0,391.0,-318.0,571.0,429.0,-1.0,15.0
0,0,0,18,1,-5,8191.0,458.0,-360.0,1597.0,1517.0,-3.0,-125.0
0,0,28,51,11,-5,1078.0,1685.0,-522.0,-289.0,1012.0,-93.0,243.0
0,0,75,-21,-1,-4,8191.0,1491.0,-34.0,-325.0,558.0,-251.0,620.0
0,0,103,-28,-3,-5,8191.0,484.0,-325.0,759.0,1076.0,-58.0,393.0
0,0,136,-30,-2,-5,1182.0,569.0,-271.0,858.0,882.0,-392.0,231.0
0,0,146,-29,-2,-5,8191.0,683.0,-515.0,856.0,881.0,-253.0,255.0
0,-1,123,-29,-3,-4,165.0,614.0,-241.0,436.0,794.0,-217.0,43.0
18,7,22,-30,-3,-5,8191.0,1098.0,-526.0,408.0,1201.0,-265.0,-67.0
86,26,-12,-28,-2,-5,8191.0,1056.0,-270.0,881.0,1629.0,-315.0,17.0
14,15,-15,-24,-2,-1,8191.0,1006.0,-300.0,-39.0,651.0,-76.0,339.0
0,0,-17,-23,-2,7,8191.0,956.0,-273.0,224.0,1093.0,-68.0,222.0
0,0,-16,-23,-2,3,8191.0,978.0,-153.0,84.0,916.0,-171.0,235.0
0,0,-16,-19,-3,0,8191.0,1001.0,-178.0,124.0,925.0,-77.0,358.0
0,0,-13,-19,-3,4,8191.0,993.0,-271.0,129.0,812.0,-61.0,297.0
0,0,-12,-11,-2,-5,113.0,1293.0,-451.0,814.0,919.0,19.0,206.0
