Time,L1,L2,L3,R1,R2,R3,D1,1X,1Y,1Z,2X,2Y,2Z
10:33:47.629,1,-2,-55,-3,-3,0,46.0,579.0,568.0,-563.0,-359.0,-143.0,791.0
10:33:47.801,-1,-6,-52,-2,-10,3,34.0,882.0,773.0,-182.0,-80.0,-25.0,354.0
10:33:47.883,-2,-5,-49,2,-12,0,37.0,521.0,474.0,-426.0,209.0,838.0,68.0
10:33:48.051,0,1,-38,15,-3,-2,36.0,1587.0,715.0,-476.0,-192.0,1354.0,2086.0
10:33:48.213,0,0,6,-3,-21,-1,52.0,1173.0,-1008.0,421.0,6.0,437.0,1208.0
10:33:48.398,0,-2,12,-5,-19,0,58.0,1271.0,-128.0,-11.0,53.0,235.0,874.0
10:33:48.498,1,-3,-10,-5,-21,0,55.0,837.0,601.0,-524.0,46.0,100.0,710.0
10:33:48.664,16,4,-41,-5,-17,0,42.0,748.0,638.0,-105.0,83.0,1413.0,1601.0
10:33:48.814,-2,-5,-53,-3,-8,3,41.0,827.0,902.0,-363.0,-168.0,-414.0,646.0
10:33:48.996,-1,-8,-51,-2,-12,7,33.0,787.0,878.0,-405.0,-239.0,414.0,380.0
10:33:49.082,-2,-6,-48,4,-7,0,40.0,1145.0,766.0,-136.0,32.0,759.0,629.0
10:33:49.245,1,2,-43,8,-7,-1,40.0,1468.0,401.0,-381.0,-308.0,-214.0,1248.0
10:33:49.433,3,4,-24,-6,-20,-1,56.0,1031.0,-1062.0,258.0,105.0,75.0,1312.0
10:33:49.601,2,0,-15,-3,-17,-2,57.0,1539.0,703.0,-474.0,33.0,76.0,823.0
10:33:49.684,1,-1,-32,-4,-17,-1,50.0,797.0,975.0,-152.0,219.0,12.0,1235.0
10:33:49.845,12,2,-46,-5,-13,1,48.0,666.0,1125.0,-404.0,-79.0,330.0,1916.0
10:33:50.027,0,-6,-53,0,0,2,45.0,841.0,518.0,-379.0,-125.0,-119.0,1177.0
10:33:50.193,-1,-5,-51,0,-10,0,35.0,348.0,729.0,-632.0,60.0,259.0,327.0
10:33:50.284,2,-1,-49,12,-7,-1,39.0,1080.0,980.0,-138.0,656.0,1928.0,676.0
10:33:50.443,2,0,-22,-1,-9,0,45.0,1158.0,-636.0,282.0,-484.0,1675.0,1722.0
10:33:50.623,0,-1,12,-3,-14,-4,47.0,1156.0,542.0,275.0,-171.0,356.0,396.0
10:33:50.784,2,-2,-3,-3,-15,-1,58.0,1186.0,493.0,-133.0,-66.0,1004.0,471.0
10:33:50.961,14,2,-42,-6,-21,-1,31.0,1213.0,3177.0,38.0,194.0,716.0,1111.0
10:33:51.044,4,2,-53,-4,-7,2,47.0,598.0,843.0,-112.0,26.0,859.0,485.0
10:33:51.227,-1,-7,-53,0,-5,4,43.0,781.0,914.0,-478.0,-260.0,-55.0,730.0
10:33:51.386,0,-4,-50,-1,-12,1,30.0,683.0,985.0,-562.0,287.0,1020.0,272.0
